Client ID,Age,Gender,Annual Income,Investment Amount,Investment Preference,Transaction Frequency,Risk Tolerance,Engagement Score
141,24,Female,92175,105244,Stocks,1,High,10
142,45,Female,36834,64150,Mutual Funds,17,Low,37
143,33,Male,48179,165644,Stocks,6,Low,32
144,58,Male,56219,393197,Real Estate,3,High,36
145,46,Female,133153,497176,Bonds,16,Low,64
146,28,Male,176854,171343,Bonds,13,Medium,89
147,34,Male,104967,185882,Stocks,12,High,15
148,34,Female,132454,462476,Real Estate,11,High,73
149,45,Female,39496,81566,Real Estate,2,High,16
150,61,Female,76025,149210,Bonds,19,Medium,83
151,32,Male,89886,134549,Bonds,8,High,46
152,51,Male,184635,183441,Mutual Funds,13,Low,44
153,58,Male,33712,151718,Stocks,14,Medium,76
154,68,Male,124067,33812,Bonds,15,High,35
155,51,Female,75489,93958,Real Estate,17,Medium,51
156,23,Male,62664,343325,Real Estate,15,Medium,58
157,49,Male,173492,281772,Bonds,10,Low,5
158,56,Female,35315,29486,Real Estate,1,Low,38
159,42,Female,105033,486161,Stocks,12,Low,6
160,58,Male,147862,391078,Real Estate,9,High,51
161,64,Female,109030,266290,Real Estate,5,High,14
162,34,Female,93910,306410,Bonds,15,Low,48
163,62,Male,151075,355412,Stocks,3,Low,12
164,48,Male,85919,51557,Stocks,19,High,86
165,55,Male,165204,221033,Mutual Funds,7,Low,52
166,32,Male,157153,213803,Stocks,7,Medium,68
167,51,Female,71598,220330,Mutual Funds,7,Medium,59
168,26,Female,181623,21494,Bonds,2,Medium,18
169,41,Male,98206,419787,Real Estate,2,High,53
170,47,Male,104900,301630,Stocks,12,Low,31
171,21,Female,56296,224508,Mutual Funds,5,Medium,35
172,61,Male,179138,66635,Stocks,4,High,4
173,64,Male,189964,136197,Bonds,7,Low,9
174,25,Male,105577,53814,Mutual Funds,16,Low,15
175,47,Male,107173,128141,Mutual Funds,3,Medium,42
176,47,Female,94771,417534,Mutual Funds,2,Low,59
177,63,Male,188556,67363,Bonds,17,Low,85
178,63,Female,107865,48162,Mutual Funds,9,Medium,96
179,39,Male,129074,252364,Real Estate,8,Medium,73
180,49,Male,188187,132083,Bonds,12,Low,32
181,30,Female,187110,12590,Real Estate,7,High,80
182,47,Male,66622,301994,Real Estate,14,High,45
183,44,Female,65886,410350,Bonds,16,Medium,5
184,58,Male,170973,397235,Stocks,1,Low,31
185,52,Male,86377,292374,Real Estate,10,Medium,25
186,20,Male,112910,282202,Bonds,11,High,56
187,46,Male,148992,84837,Real Estate,7,High,1
188,32,Male,193878,108397,Mutual Funds,18,Low,61
189,60,Female,178731,294183,Real Estate,19,Medium,67
190,22,Female,184525,257903,Real Estate,14,Medium,85
191,58,Male,191570,201892,Real Estate,17,High,92
192,25,Male,46312,305478,Mutual Funds,19,Medium,67
193,27,Female,31436,48525,Real Estate,13,Medium,42
194,46,Female,57569,131681,Bonds,3,Medium,96
195,28,Male,146787,89194,Real Estate,2,Low,96
196,56,Male,120485,164515,Bonds,9,High,94
197,52,Female,132555,271116,Real Estate,7,Medium,59
198,61,Male,170377,69936,Real Estate,14,Low,50
199,63,Female,62646,358847,Real Estate,5,Medium,77
200,43,Male,106126,477431,Stocks,15,Medium,34
201,34,Female,147922,114877,Stocks,1,High,68
202,51,Female,70430,296663,Mutual Funds,7,Low,54
203,51,Male,152238,489456,Bonds,5,Medium,82
204,43,Female,98659,369561,Mutual Funds,4,High,96
205,60,Male,145341,495700,Bonds,11,Low,14
206,68,Male,34158,478130,Mutual Funds,19,Medium,32
207,68,Male,104236,343008,Mutual Funds,6,High,70
208,31,Male,106067,60881,Real Estate,18,Medium,81
209,58,Female,188810,291876,Real Estate,5,Medium,8
210,21,Male,39879,153745,Real Estate,15,Low,35
211,22,Male,166615,80909,Real Estate,6,High,24
212,68,Male,142284,253271,Real Estate,4,Low,3
213,56,Male,114117,10720,Mutual Funds,17,Medium,81
214,68,Female,197751,326259,Bonds,15,High,36
215,36,Male,73888,382987,Stocks,18,Medium,51
216,68,Female,60276,56940,Stocks,6,Medium,81
217,21,Female,34799,403369,Bonds,19,Medium,57
218,21,Female,142529,76762,Stocks,12,High,59
219,47,Male,154713,204584,Mutual Funds,9,Medium,94
220,42,Male,120141,174091,Bonds,8,High,89
221,56,Male,145013,89833,Bonds,15,Medium,22
222,51,Male,197606,414803,Stocks,1,Low,37
223,52,Female,61668,285350,Stocks,2,High,75
224,20,Female,165183,358615,Mutual Funds,3,Medium,12
225,38,Male,185758,362313,Real Estate,19,Low,21
226,21,Male,102392,277880,Bonds,10,High,15
227,63,Male,46490,374081,Real Estate,14,Low,12
228,45,Male,196266,143043,Stocks,19,Medium,86
229,51,Male,175569,323721,Bonds,11,Low,56
230,25,Male,147219,473259,Real Estate,6,Medium,99
231,51,Male,74104,262989,Mutual Funds,19,Medium,16
232,23,Female,35316,423940,Mutual Funds,14,High,33
233,30,Female,68130,136003,Mutual Funds,8,Medium,43
234,36,Female,137294,354846,Bonds,2,Medium,49
235,57,Female,59954,345838,Bonds,18,High,78
236,43,Male,143437,258686,Bonds,4,High,18
237,24,Male,182724,358454,Bonds,3,Medium,16
238,53,Male,175250,60155,Bonds,2,Medium,40
239,25,Male,175823,133491,Real Estate,4,High,67
240,41,Male,164116,147180,Real Estate,18,High,62
241,30,Female,93165,82613,Mutual Funds,11,Low,90
242,67,Male,172552,467927,Real Estate,9,Low,79
243,35,Female,96775,61938,Real Estate,8,Low,27
244,52,Male,167638,106163,Mutual Funds,8,High,81
245,28,Female,115311,335642,Mutual Funds,5,High,14
246,25,Male,83149,477368,Stocks,13,High,66
247,35,Female,164078,233861,Mutual Funds,7,Low,27
248,48,Male,102561,22751,Real Estate,5,Medium,54
249,22,Male,180495,378305,Bonds,13,Medium,88
250,39,Male,120710,206818,Mutual Funds,16,Medium,60
251,55,Male,122199,299534,Stocks,14,High,40
252,38,Female,195024,368357,Real Estate,5,Medium,45
253,45,Male,57326,113712,Stocks,19,Medium,99
254,22,Female,147272,499925,Stocks,4,High,68
255,38,Male,61139,414209,Real Estate,11,High,90
256,39,Female,103638,65403,Stocks,2,High,68
257,51,Male,102652,294003,Real Estate,13,High,63
258,26,Male,42937,419094,Stocks,16,High,98
259,60,Female,60161,478675,Bonds,9,Low,77
260,52,Male,165455,104124,Mutual Funds,16,High,40
261,59,Male,115856,130940,Bonds,7,Medium,41
262,58,Female,100043,294244,Bonds,16,Medium,61
263,37,Male,175807,487838,Stocks,13,Low,65
264,59,Female,89919,198356,Mutual Funds,5,High,1
265,20,Male,112055,458192,Mutual Funds,15,Medium,9
266,30,Female,115455,438239,Mutual Funds,7,Medium,75
267,47,Female,198694,384494,Stocks,18,High,80
268,44,Female,68135,445925,Bonds,2,Low,93
269,69,Female,196730,388936,Real Estate,8,High,15
270,42,Male,114677,234179,Real Estate,10,High,59
271,50,Male,59696,474769,Real Estate,10,High,66
272,49,Female,164845,321668,Mutual Funds,11,High,10
273,61,Male,54956,107757,Real Estate,8,High,49
274,54,Male,45819,90049,Bonds,16,Low,11
275,26,Male,31528,49974,Real Estate,16,Medium,30
276,35,Female,157781,182550,Mutual Funds,17,High,23
277,45,Male,116491,320912,Mutual Funds,6,Medium,22
278,67,Male,74588,216468,Real Estate,18,Medium,51
279,68,Female,129152,471838,Mutual Funds,17,High,42
280,21,Male,157872,315688,Real Estate,12,Medium,29
281,20,Female,181583,416266,Mutual Funds,15,High,45
282,67,Female,40119,155856,Stocks,7,High,96
283,31,Female,105893,16774,Stocks,14,High,33
284,24,Male,46167,171040,Bonds,4,Low,39
285,56,Male,140782,456452,Stocks,17,High,73
286,51,Female,160775,82678,Real Estate,11,High,65
287,28,Female,64889,317279,Mutual Funds,6,Medium,82
288,60,Female,75678,421223,Bonds,10,Low,50
289,54,Female,90262,30158,Real Estate,15,Medium,86
290,38,Female,165753,76587,Real Estate,6,Medium,48
291,67,Female,110291,495328,Bonds,16,High,37
292,35,Male,96008,402331,Bonds,12,Low,78
293,22,Female,174762,482776,Real Estate,19,Low,86
294,39,Female,55912,64317,Mutual Funds,16,High,33
295,43,Female,36473,11371,Real Estate,14,Low,6
296,52,Male,179741,361370,Mutual Funds,6,High,91
297,43,Male,129500,306499,Bonds,9,Low,70
298,30,Male,182015,365100,Real Estate,1,Low,55
299,68,Male,68785,179447,Stocks,8,High,44
300,27,Female,130956,118538,Real Estate,7,Low,50
301,55,Male,149006,472832,Mutual Funds,14,Low,54
302,57,Female,40832,203491,Real Estate,8,Low,63
303,59,Female,166457,206429,Mutual Funds,11,Medium,16
304,39,Female,175780,107126,Stocks,9,High,47
305,54,Female,184510,13338,Bonds,19,Medium,57
306,67,Female,112747,158079,Stocks,7,Low,2
307,44,Female,110107,269621,Mutual Funds,6,Low,37
308,54,Male,95428,214743,Bonds,18,Medium,93
309,44,Male,116843,309567,Bonds,5,Low,23
310,48,Male,41002,343117,Real Estate,19,Low,85
311,37,Male,197225,446316,Stocks,11,High,13
312,65,Male,183512,473254,Mutual Funds,5,Low,65
313,37,Female,97501,296380,Mutual Funds,9,High,93
314,21,Male,62556,136440,Bonds,8,High,48
315,54,Male,97963,292983,Real Estate,11,Medium,7
316,35,Male,36563,122537,Mutual Funds,6,Medium,31
317,60,Female,35840,116902,Real Estate,15,Low,63
318,55,Female,45154,368195,Bonds,6,Medium,45
319,52,Female,54194,471314,Bonds,11,High,56
320,23,Male,183520,12139,Bonds,15,Medium,64
321,52,Male,53528,163213,Real Estate,12,High,22
322,33,Male,190474,375458,Mutual Funds,9,Medium,63
323,40,Male,34352,331406,Stocks,10,Low,80
324,67,Male,30184,142776,Real Estate,15,Medium,28
325,39,Female,171456,137959,Bonds,17,Low,44
326,27,Male,44319,279119,Stocks,16,Medium,89
327,26,Female,150497,136616,Stocks,8,High,14
328,22,Male,181521,89984,Stocks,17,Medium,85
329,36,Female,86333,93366,Stocks,11,Medium,19
330,52,Female,71205,182395,Stocks,11,High,60
331,67,Female,40426,125491,Bonds,6,High,77
332,31,Female,37504,55382,Mutual Funds,2,Medium,2
333,41,Male,146775,291070,Stocks,1,High,51
334,41,Male,63368,101538,Mutual Funds,6,High,78
335,65,Male,133841,118117,Mutual Funds,5,Medium,34
336,49,Female,146744,280477,Real Estate,9,Low,82
337,57,Male,38724,284086,Bonds,5,Medium,88
338,57,Male,166156,216292,Stocks,18,Medium,94
339,64,Male,195882,489840,Mutual Funds,19,Low,51
340,27,Male,112297,420663,Real Estate,15,Medium,19
341,46,Female,155099,79397,Mutual Funds,15,Medium,36
342,46,Female,108872,160905,Stocks,9,High,85
343,53,Male,181944,219062,Bonds,14,Medium,83
344,40,Male,100333,464802,Bonds,5,Low,26
345,49,Male,32596,484174,Stocks,17,Low,35
346,52,Female,47167,288674,Mutual Funds,15,High,63
347,47,Female,117844,52060,Real Estate,17,Medium,4
348,66,Female,119751,86292,Bonds,9,Medium,85
349,52,Male,159817,205630,Bonds,13,Medium,3
350,24,Female,110520,46104,Mutual Funds,13,Medium,5
351,67,Female,88326,7634,Mutual Funds,5,Low,29
352,38,Female,107670,201282,Mutual Funds,14,Low,19
353,23,Female,171854,228753,Real Estate,7,High,17
354,54,Female,54022,274432,Mutual Funds,5,Medium,34
355,68,Male,114458,210600,Real Estate,12,Low,20
356,36,Male,175690,39253,Stocks,3,Medium,28
357,63,Male,178317,393772,Real Estate,9,Low,73
358,47,Male,113796,32005,Mutual Funds,10,Low,67
359,49,Female,171099,253583,Real Estate,1,High,10
360,48,Male,175058,316968,Real Estate,14,Medium,21
361,65,Male,140704,344846,Real Estate,1,High,4
362,25,Male,164598,229673,Bonds,10,High,22
363,54,Female,74361,451790,Mutual Funds,11,High,71
364,60,Male,68286,22798,Real Estate,2,High,62
365,56,Female,59533,458928,Mutual Funds,2,High,12
366,43,Female,179388,165373,Stocks,11,High,11
367,48,Female,169771,60267,Real Estate,8,High,22
368,68,Male,157441,402110,Real Estate,3,Medium,29
369,65,Female,127079,8846,Stocks,9,High,61
370,50,Male,130960,68571,Mutual Funds,16,Medium,61
371,54,Male,88465,281625,Stocks,16,Medium,27
372,52,Male,177745,129908,Stocks,10,Low,47
373,40,Female,53395,47154,Stocks,6,High,84
374,51,Female,134162,187248,Stocks,11,Medium,14
375,42,Male,160704,134447,Mutual Funds,8,Low,7
376,52,Female,184779,454844,Real Estate,1,Low,15
377,22,Female,105937,493973,Stocks,6,High,46
378,37,Female,159647,249372,Stocks,8,High,28
379,44,Male,150650,13048,Bonds,14,High,43
380,61,Female,160744,32386,Mutual Funds,3,High,10
381,50,Female,121512,169408,Stocks,2,Medium,51
382,22,Male,169830,109794,Bonds,1,Medium,3
383,59,Female,97009,422069,Stocks,11,High,76
384,65,Male,174353,301857,Mutual Funds,6,High,77
385,43,Female,62548,455906,Bonds,8,Medium,44
386,69,Female,48371,152863,Bonds,7,High,54
387,51,Female,135977,467980,Mutual Funds,6,Low,34
388,66,Female,180716,82481,Bonds,18,Medium,65
389,41,Female,184946,439789,Bonds,12,Low,89
390,42,Female,44281,307043,Stocks,8,Low,83
391,21,Male,183361,95217,Bonds,19,Low,25
392,46,Female,166126,498738,Real Estate,5,Low,63
393,61,Female,130020,282119,Mutual Funds,19,High,70
394,21,Female,137508,249985,Stocks,9,High,45
395,45,Male,96846,78247,Bonds,12,High,68
396,36,Male,124682,115295,Real Estate,15,High,26
397,59,Male,59312,386189,Stocks,13,Medium,26
398,52,Female,144186,279249,Mutual Funds,13,High,26
399,28,Female,34257,54645,Bonds,5,Medium,78
400,62,Male,176918,397435,Mutual Funds,2,Low,62
401,67,Male,183555,297290,Mutual Funds,19,Medium,96
402,58,Male,56558,216846,Bonds,8,High,92
403,48,Female,73188,402084,Bonds,14,Low,61
404,61,Male,174084,451753,Stocks,6,Low,2
405,45,Female,63236,311438,Mutual Funds,7,High,41
406,54,Female,75076,459480,Bonds,14,Low,45
407,69,Female,78402,342740,Mutual Funds,6,Low,85
408,44,Male,124467,403649,Bonds,16,Low,14
409,43,Female,193148,27612,Mutual Funds,4,Medium,37
410,32,Male,110337,416038,Stocks,7,Low,2
411,26,Male,145827,39120,Mutual Funds,16,Low,5
412,55,Male,104264,177076,Bonds,4,Medium,2
413,64,Male,47335,26294,Real Estate,7,High,1
414,39,Female,73773,89300,Stocks,2,Medium,48
415,20,Female,58570,206168,Stocks,8,Medium,22
416,27,Female,117995,349263,Real Estate,10,High,41
417,65,Female,70658,348240,Bonds,2,High,25
418,35,Male,150640,140496,Stocks,6,Medium,46
419,33,Male,102613,45615,Real Estate,4,Low,94
420,31,Male,88194,31863,Real Estate,1,High,9
421,42,Male,141872,248571,Mutual Funds,6,Low,61
422,34,Female,195031,34469,Mutual Funds,12,High,47
423,47,Male,138558,108101,Bonds,14,Low,74
424,53,Female,98582,159256,Real Estate,15,Medium,79
425,21,Male,173775,356590,Mutual Funds,18,Medium,3
426,51,Male,79456,117613,Bonds,17,Medium,8
427,42,Male,85491,486156,Stocks,9,Medium,25
428,41,Male,38043,122456,Mutual Funds,15,High,36
429,44,Female,133212,171247,Bonds,18,Medium,43
430,41,Female,98340,452865,Mutual Funds,18,Low,50
431,41,Female,171248,68872,Stocks,5,Medium,63
432,68,Female,165008,467543,Stocks,16,Medium,85
433,61,Male,61174,37208,Mutual Funds,9,Medium,34
434,25,Male,112632,188517,Stocks,3,Medium,91
435,34,Female,118768,56998,Bonds,12,High,73
436,62,Female,155775,324138,Mutual Funds,14,High,10
437,56,Male,138177,248783,Mutual Funds,1,High,27
438,52,Male,55909,188535,Stocks,9,Low,89
439,27,Female,74158,64895,Bonds,9,Low,13
440,63,Female,169438,473381,Mutual Funds,13,Medium,51
441,63,Female,154296,37894,Mutual Funds,8,Low,68
442,24,Male,89331,26990,Stocks,11,Low,16
443,58,Female,189914,440796,Stocks,14,Low,12
444,23,Female,178530,78230,Bonds,16,Low,25
445,25,Female,117367,41087,Bonds,11,High,49
446,64,Female,95382,275817,Stocks,19,High,16
447,51,Female,104319,174271,Bonds,10,Low,2
448,49,Male,41170,299331,Real Estate,8,Low,73
449,66,Female,149952,468130,Real Estate,11,High,77
450,54,Male,110145,290697,Stocks,8,Medium,78
451,59,Female,135626,252881,Mutual Funds,10,High,76
452,35,Female,46208,188359,Stocks,17,Low,35
453,32,Female,196250,310924,Stocks,11,Low,22
454,69,Male,170111,109794,Stocks,12,Low,85
455,61,Male,44990,486276,Mutual Funds,10,High,48
456,49,Male,167513,244939,Real Estate,17,Low,64
457,38,Female,159327,87158,Bonds,3,High,67
458,36,Female,109314,6420,Real Estate,7,Medium,22
459,38,Male,56862,183512,Bonds,3,Low,73
460,47,Male,188345,201948,Bonds,17,Low,47
461,45,Female,123949,49310,Stocks,8,Medium,40
462,56,Male,160223,241896,Stocks,19,High,53
463,45,Female,33956,48953,Bonds,14,Low,3
464,42,Male,118789,272131,Mutual Funds,5,Low,95
465,28,Male,119451,227670,Mutual Funds,19,Low,6
466,31,Male,147782,181589,Mutual Funds,13,Low,14
467,20,Female,32365,37456,Mutual Funds,18,Medium,83
468,20,Female,102204,123763,Stocks,11,High,58
469,66,Male,166072,174252,Real Estate,12,Medium,82
470,53,Female,87072,460453,Real Estate,8,High,7
471,51,Female,82499,226916,Bonds,12,Medium,29
472,67,Female,99211,90398,Mutual Funds,1,Medium,3
473,44,Female,173979,455721,Stocks,18,High,13
474,59,Male,178408,209278,Stocks,2,Low,36
475,64,Female,115220,122183,Stocks,12,Low,89
476,20,Female,123847,356926,Bonds,19,Medium,92
477,35,Male,139459,477518,Stocks,7,Medium,38
478,58,Female,107755,389884,Bonds,7,Medium,75
479,24,Female,98783,265360,Bonds,1,Low,60
480,41,Female,157851,34681,Bonds,18,High,73
481,48,Male,36472,275467,Bonds,8,Low,22
482,22,Male,183452,334537,Stocks,10,Medium,21
483,31,Female,133152,183295,Stocks,1,Low,83
484,45,Female,188352,101123,Real Estate,15,Low,33
485,35,Male,182931,96354,Stocks,15,Low,4
486,56,Male,169334,459048,Mutual Funds,4,High,97
487,41,Male,172138,161319,Mutual Funds,10,Medium,80
488,48,Female,176626,365952,Bonds,8,Low,44
489,33,Female,37008,220148,Bonds,14,Low,1
490,47,Male,117851,227445,Bonds,13,Medium,62
491,24,Female,110799,275628,Real Estate,17,Low,79
492,66,Female,46238,166754,Bonds,7,Low,22
493,68,Female,47153,495459,Real Estate,6,Low,96
494,49,Female,89353,75459,Bonds,9,Low,59
495,65,Female,82092,132162,Mutual Funds,8,Medium,37
496,24,Female,79104,440235,Bonds,14,Low,23
497,31,Female,185355,348600,Stocks,3,High,33
498,35,Male,58887,441479,Bonds,13,Low,22
499,45,Male,34355,158010,Stocks,9,High,64
500,45,Male,63701,59890,Stocks,9,Medium,62
501,67,Male,101442,18319,Stocks,11,Low,54
502,40,Male,42279,374841,Stocks,6,High,58
503,58,Male,150738,131193,Real Estate,12,High,12
504,55,Male,169333,326576,Real Estate,4,Low,18
505,52,Male,165546,458988,Bonds,4,Low,96
506,49,Male,121414,405116,Bonds,17,Medium,67
507,56,Female,58390,72696,Real Estate,7,Medium,60
508,42,Female,187997,414452,Bonds,6,Low,1
509,29,Male,112174,462471,Bonds,8,Medium,89
510,24,Female,34787,323629,Real Estate,7,Medium,20
511,55,Female,73724,127359,Real Estate,8,Medium,17
512,53,Male,40663,198365,Bonds,9,Medium,49
513,50,Male,177192,142293,Real Estate,1,Low,22
514,29,Male,183812,30294,Mutual Funds,3,Low,33
515,38,Female,163107,146110,Stocks,18,High,26
516,51,Female,130271,483403,Stocks,19,Medium,27
517,20,Male,97388,189721,Mutual Funds,11,Low,60
518,24,Female,82335,421576,Mutual Funds,16,High,34
519,64,Female,73315,13255,Bonds,18,Medium,87
520,23,Female,134922,204307,Bonds,6,High,80
521,35,Male,76627,114429,Stocks,2,Medium,78
522,43,Female,169375,92464,Bonds,4,Low,52
523,35,Female,79334,446385,Stocks,5,High,55
524,21,Female,95700,398588,Bonds,14,Low,61
525,68,Female,69726,451395,Bonds,1,Medium,50
526,47,Female,60694,455865,Stocks,14,Medium,63
527,51,Female,192325,117848,Mutual Funds,13,Medium,64
528,46,Female,185302,417114,Mutual Funds,16,High,14
529,39,Male,93545,186155,Bonds,4,High,90
530,43,Male,177997,28855,Mutual Funds,6,High,51
531,31,Female,36033,39758,Bonds,9,Low,27
532,69,Male,92461,254416,Real Estate,1,High,40
533,54,Female,32665,407823,Real Estate,17,Medium,68
534,52,Female,57025,266272,Real Estate,4,Low,9
